CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
2792,Reposteria Choc. blanco 500gr St Moritz,Chocolates y Golosinas,Y,CHOCOLATE,5.05
2881,Gotas de Chocolate Leche 5Kg St. Moritz,Chocolates y Golosinas,Y,CHOCOLATES,48.75
2889,Gotas De Chocolate Bitter 5kg St. Moritz,Chocolates y Golosinas,Y,CHOCHOLATE,48.75
29,Leche UHT Completa Parmalat 1L x 12,Leches UHT,Y,UHT,1.4
2916,Bombonera 8U Surtidos 115gr St Moritz,Chocolates y Golosinas,Y,BOMBONES,1.72
2962,flaquito estuche 4und x 30gr St. Moritz,Chocolates y Golosinas,Y,flaquito estuche 4 unidades x 30 gr,1.3
2990,Choco Zoo Navidad Leche Estuche 6x15Gr,Chocolates y Golosinas,Y,Und,1.47
2994,Passion Noir 70% 12x32gr St. Moritz,Chocolates y Golosinas,Y,passion noir 70 % display 12 x 32 gr,4.85
2995,Passion Noir 56% 12x32gr. St. Moritz,Chocolates y Golosinas,Y,passion noir 66 % display 12 x 32 gr,4.85
300301,Queso Pecorino S/pimienta Derilac,Quesos Madurados,Y,MADURADO,10.82
300302,Queso Pecorino con pimienta Derilac,Quesos Madurados,Y,Queso pecorino con pimienta,10.82
300605-3,Mantequilla sin sal 5 kg Derilac (e),Industriales,Y,Mantequilla S/S  5Kgrs,33.0
300610,Queso Parmesano Derilac,Quesos Madurados,Y,MADURADO,21.08
300610-1,Parmesano Rallado 200gr Derilac,Cremas y Natillas,Y,QUESOS,3.9
300611,Queso Cheddar Fundido DERILAC,Quesos Amarillos,Y,FUNDIDO,7.67
300615,Ricotta Con Sal 250gr Derilac,Cremas y Natillas,Y,CREMAS,1.44
300616,Queso Crema Panelon 10kg DERILAC,Industriales,Y,Und,48.0
300616-1,Queso Crema DERILAC 220gr,Cremas y Natillas,Y,CREMAS,1.8
300620,Queso parmesino rallado,Quesos Madurados,Y,Quso parmesino Rallado,14.39
